검증순서,진행률,판정,Ticker,Strategy,분할수,첫매수LOC여유율,지정가매도%,FinalAsset,Return,CAGR,MDD,WinRate,Trades,CompletedCycles,ActiveT,AvgHoldDays,ProfitFactor,StabilityScore,OverfitRisk,MDD_Worse,Score
134,87.0%,관찰,SOXL,raor4_step24q,40,14.0,10.0,2907688565,2807.69,23.23,-45.53,92.41,870,122,2.5,4.5,6.98,97.1,낮음,1.43,108.92
141,91.6%,관찰,SOXL,raor4_step24q,40,14.5,10.0,2907688565,2807.69,23.23,-45.53,92.41,870,122,2.5,4.5,6.98,97.1,낮음,1.43,108.92
148,96.1%,관찰,SOXL,raor4_step24q,40,15.0,10.0,2907688565,2807.69,23.23,-45.53,92.41,870,122,2.5,4.5,6.98,97.1,낮음,1.43,108.92
107,69.5%,관찰,SOXL,raor4_step24q,40,12.0,12.5,3822651735,3722.65,25.34,-48.62,85.4,644,118,2.5,2.8,4.8,92.1,낮음,3.95,108.63
114,74.0%,관찰,SOXL,raor4_step24q,40,12.5,12.5,3822651735,3722.65,25.34,-48.62,85.4,644,118,2.5,2.8,4.8,92.1,낮음,3.95,108.63
121,78.6%,관찰,SOXL,raor4_step24q,40,13.0,12.5,3822651735,3722.65,25.34,-48.62,85.4,644,118,2.5,2.8,4.8,92.1,낮음,3.95,108.63
128,83.1%,관찰,SOXL,raor4_step24q,40,13.5,12.5,3822651735,3722.65,25.34,-48.62,85.4,644,118,2.5,2.8,4.8,92.1,낮음,3.95,108.63
135,87.7%,관찰,SOXL,raor4_step24q,40,14.0,12.5,3822651735,3722.65,25.34,-48.62,85.4,644,118,2.5,2.8,4.8,92.1,낮음,3.95,108.63
142,92.2%,관찰,SOXL,raor4_step24q,40,14.5,12.5,3822651735,3722.65,25.34,-48.62,85.4,644,118,2.5,2.8,4.8,92.1,낮음,3.95,108.63
149,96.8%,관찰,SOXL,raor4_step24q,40,15.0,12.5,3822651735,3722.65,25.34,-48.62,85.4,644,118,2.5,2.8,4.8,92.1,낮음,3.95,108.63
79,51.3%,관찰,SOXL,raor4_step24q,40,10.0,12.5,3816808747,3716.81,25.32,-48.62,85.4,644,118,2.5,2.8,4.79,92.1,낮음,3.95,108.59
86,55.8%,관찰,SOXL,raor4_step24q,40,10.5,12.5,3816808747,3716.81,25.32,-48.62,85.4,644,118,2.5,2.8,4.79,92.1,낮음,3.95,108.59
93,60.4%,관찰,SOXL,raor4_step24q,40,11.0,12.5,3816808747,3716.81,25.32,-48.62,85.4,644,118,2.5,2.8,4.79,92.1,낮음,3.95,108.59
100,64.9%,관찰,SOXL,raor4_step24q,40,11.5,12.5,3816808747,3716.81,25.32,-48.62,85.4,644,118,2.5,2.8,4.79,92.1,낮음,3.95,108.59
13,8.4%,관찰,SOXL,raor4_step24q,20,10.5,22.5,14874004050,14774.0,36.35,-55.22,83.47,1137,66,3.12,3.4,4.37,68.5,보통,15.74,108.15
