Date,Close,Action,CurrentSplit,BuyAmount,SellAmount,Shares,AvgPrice,Cash,StockValue,TotalAsset,Peak,Drawdown
2022-05-03,310.8747863769531,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,80936894.92923418,298141965.94979846,319417832.3568487,-0.066608261192134
2022-05-04,321.3861083984375,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,83673539.40251301,300878610.4230773,319417832.3568487,-0.05804066040076215
2022-05-05,305.1998596191406,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,79459415.98640595,296664487.0069702,319417832.3568487,-0.07123379800680257
2022-05-06,301.54327392578125,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,78507416.32277189,295712487.34333616,319417832.3568487,-0.07421421915802529
2022-05-09,289.74481201171875,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,75435662.3108298,292640733.3313941,319417832.3568487,-0.08383094590517312
2022-05-10,293.264892578125,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,76352122.58175123,293557193.6023155,319417832.3568487,-0.08096178777408433
2022-05-11,284.5671081542969,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,74087636.38062553,291292707.4011898,319417832.3568487,-0.0880512047437538
2022-05-12,283.89434814453125,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,73912481.91777062,291117552.9383349,319417832.3568487,-0.08859956004866126
2022-05-13,294.4154663085937,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,76651676.83707242,293856747.8576367,319417832.3568487,-0.08002397458716573
2022-05-16,291.00262451171875,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,75763136.40205358,292968207.42261785,319417832.3568487,-0.08280572421104451
2022-05-17,298.5400390625,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,77725517.90183508,294930588.92239934,319417832.3568487,-0.0766621050984173
2022-05-18,283.8846130371094,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,73909947.36237708,291115018.38294137,319417832.3568487,-0.08860749497006129
2022-05-19,282.36346435546875,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,73513913.15049215,290718984.1710564,319417832.3568487,-0.08984735753178118
