Date,Close,RSI,Mode,Action,BuyAmount,SellAmount,Shares,Cash,StockValue,TotalAsset
2021-04-02,314.9725036621094,56.904903572566624,상승,매수,1000000,0.0,19628.44478811196,131540129.73482639,6182420.397905106,137722550.1327315
2021-04-09,327.1416320800781,59.91196672783004,상승,매수,1000000,0.0,22685.224793890065,130540129.73482639,7421281.46317665,137961411.19800302
2021-04-16,331.896728515625,59.78334753946248,상승,매수,1000000,0.0,25698.210201948772,129540129.73482639,8529151.894733656,138069281.62956005
2021-04-23,329.3834228515625,62.16114013809824,상승,매수,1000000,0.0,28734.18569623056,128540129.73482639,9464564.43747683,138004694.17230323
2021-04-30,327.99566650390625,56.312464290826526,상승,매수,1000000,0.0,31783.006464684495,127540129.73482639,10424688.388882153,137964818.12370855
2021-05-07,324.3177490234375,60.46189798127347,상승,매수,1000000,0.0,34866.40231030543,126540129.73482639,11307793.113823837,137847922.84865022
2021-05-14,316.7386779785156,47.37759570939577,중립,관망,0,0.0,34866.40231030543,126540129.73482639,11043538.173633205,137583667.9084596
2021-05-21,317.3404235839844,44.52468506955231,중립,관망,0,0.0,34866.40231030543,126540129.73482639,11064518.878001936,137604648.6128283
2021-05-28,324.0556640625,51.98474465186826,상승,매수,1000000,0.0,37952.2918993457,125540129.73482639,12298655.15413631,137838784.8889627
2021-06-04,325.6763610839844,65.92176569661848,상승,매수,1000000,0.0,41022.82485627137,124540129.73482639,13360164.320576085,137900294.05540246
2021-06-11,331.1495361328125,73.93764624656102,과열,전량매도,0,13584689.422011875,0.0,138124819.15683827,0.0,138124819.15683827
2021-06-18,332.4985046386719,71.72696233553023,과열,관망,0,0.0,0.0,138124819.15683827,0.0,138124819.15683827
2021-06-25,339.5198974609375,77.15055272128403,과열,관망,0,0.0,0.0,138124819.15683827,0.0,138124819.15683827
2021-07-02,348.4388427734375,78.9760685634662,과열,관망,0,0.0,0.0,138124819.15683827,0.0,138124819.15683827
