Date,Close,WeeklyRSI,WeeklyMode,Action,BuyAmount,SellAmount,Shares,Cash,StockValue,TotalAsset
2002-05-06,24.437969207763672,28.367440237673947,침체,매수,400000,0.0,221698.50665806732,91255204.94817767,5417861.2791170385,96673066.2272947
2002-05-07,24.21020698547364,28.367440237673947,침체,매수,400000,0.0,238220.46370866187,90855204.94817767,5767366.734562215,96622571.68273988
2002-05-08,26.799949645996094,28.367440237673947,침체,매수,400000,0.0,253145.86488603908,90455204.94817767,6784296.432037978,97239501.38021564
2002-05-09,26.108211517333984,28.367440237673947,침체,매수,400000,0.0,268466.7151761644,90055204.94817767,7009185.785183158,97064390.73336083
2002-05-10,24.9356689453125,29.073164049376487,침체,매수,400000,0.0,284507.9932696961,89655204.94817767,7094397.132468338,96749602.08064601
2002-05-13,25.94793701171875,29.073164049376487,침체,매수,400000,0.0,299923.4769676621,89255204.94817767,7782395.488692576,97037600.43687025
2002-05-14,27.47478675842285,29.073164049376487,침체,매수,400000,0.0,314482.27968074864,88855204.94817767,8640333.573531264,97495538.52170894
2002-05-15,27.677230834960938,29.073164049376487,침체,매수,400000,0.0,328934.59257235244,88455204.94817767,9103998.648228826,97559203.59640649
2002-05-16,27.71941375732422,29.073164049376487,침체,매수,400000,0.0,343364.9121852378,88055204.94817767,9517874.070609903,97573079.01878756
2002-05-17,27.778461456298828,42.602733191873526,중립,관망,0,0.0,343364.9121852378,88055204.94817767,9538148.97858306,97593353.92676073
2002-05-20,27.17110824584961,42.602733191873526,중립,관망,0,0.0,343364.9121852378,88055204.94817767,9329605.196811741,97384810.1449894
2002-05-21,26.42878150939941,42.602733191873526,중립,관망,0,0.0,343364.9121852378,88055204.94817767,9074716.242137766,97129921.19031543
2002-05-22,26.4878158569336,42.602733191873526,중립,관망,0,0.0,343364.9121852378,88055204.94817767,9094986.565694755,97150191.51387241
2002-05-23,27.01926040649414,42.602733191873526,중립,관망,0,0.0,343364.9121852378,88055204.94817767,9277465.976785934,97332670.9249636
2002-05-24,26.35284805297852,40.21546625977816,중립,관망,0,0.0,343364.9121852378,88055204.94817767,9048643.357541883,97103848.30571955
2002-05-28,26.23474502563477,40.21546625977816,중립,관망,0,0.0,343364.9121852378,88055204.94817767,9008090.921929186,97063295.87010685
2002-05-29,25.54303359985352,40.21546625977816,중립,관망,0,0.0,343364.9121852378,88055204.94817767,8770581.488958282,96825786.43713595
2002-05-30,25.762353897094727,40.21546625977816,중립,관망,0,0.0,343364.9121852378,88055204.94817767,8845888.38356095,96901093.33173862
2002-05-31,25.340579986572266,41.89491185831945,중립,관망,0,0.0,343364.9121852378,88055204.94817767,8701066.021812381,96756270.96999004
2002-06-03,24.446401596069336,41.89491185831945,중립,관망,0,0.0,343364.9121852378,88055204.94817767,8394036.537279405,96449241.48545706
2002-06-04,24.766950607299805,41.89491185831945,중립,관망,0,0.0,343364.9121852378,88055204.94817767,8504101.82037162,96559306.7685493
2002-06-05,25.02002143859864,41.89491185831945,중립,관망,0,0.0,343364.9121852378,88055204.94817767,8590997.46413719,96646202.41231486
2002-06-06,24.362037658691406,41.89491185831945,중립,관망,0,0.0,343364.9121852378,88055204.94817767,8365068.921330031,96420273.8695077
2002-06-07,23.872779846191406,33.02918915573481,중립,관망,0,0.0,343364.9121852378,88055204.94817767,8197074.955505027,96252279.9036827
2002-06-10,23.830602645874023,33.02918915573481,중립,관망,0,0.0,343364.9121852378,88055204.94817767,8182592.78482183,96237797.73299949
2002-06-11,23.164186477661133,33.02918915573481,중립,관망,0,0.0,343364.9121852378,88055204.94817767,7953768.855744588,96008973.80392225
