검증순서,진행률,판정,Ticker,Strategy,분할수,첫매수LOC여유율,지정가매도%,FinalAsset,Return,CAGR,MDD,WinRate,Trades,CompletedCycles,ActiveT,AvgHoldDays,ProfitFactor,StabilityScore,OverfitRisk,MDD_Worse,Score
8,5.2%,관찰,SOXL,raor4_step24p,20,10.5,10.0,3695357539,3595.36,25.07,-62.83,81.25,1088,145,2.5,4.1,3.35,54.4,보통,22.79,73.21
15,9.7%,관찰,SOXL,raor4_step24p,20,11.0,10.0,3695357539,3595.36,25.07,-62.83,81.25,1088,145,2.5,4.1,3.35,54.4,보통,22.79,73.21
22,14.3%,관찰,SOXL,raor4_step24p,20,11.5,10.0,3695357539,3595.36,25.07,-62.83,81.25,1088,145,2.5,4.1,3.35,54.4,보통,22.79,73.21
1,0.6%,관찰,SOXL,raor4_step24p,20,10.0,10.0,3684946352,3584.95,25.05,-62.83,81.25,1088,145,2.5,4.1,3.35,54.4,보통,22.79,73.15
3,1.9%,관찰,SOXL,raor4_step24p,20,10.0,15.0,7464795098,7364.8,30.64,-69.13,78.46,1003,107,2.5,2.9,3.87,41.8,높음,29.1,68.76
10,6.5%,관찰,SOXL,raor4_step24p,20,10.5,15.0,7464795098,7364.8,30.64,-69.13,78.46,1003,107,2.5,2.9,3.87,41.8,높음,29.1,68.76
17,11.0%,관찰,SOXL,raor4_step24p,20,11.0,15.0,7464795098,7364.8,30.64,-69.13,78.46,1003,107,2.5,2.9,3.87,41.8,높음,29.1,68.76
24,15.6%,관찰,SOXL,raor4_step24p,20,11.5,15.0,7464795098,7364.8,30.64,-69.13,78.46,1003,107,2.5,2.9,3.87,41.8,높음,29.1,68.76
31,20.1%,관찰,SOXL,raor4_step24p,20,12.0,15.0,7464795098,7364.8,30.64,-69.13,78.46,1003,107,2.5,2.9,3.87,41.8,높음,29.1,68.76
38,24.7%,관찰,SOXL,raor4_step24p,20,12.5,15.0,7464795098,7364.8,30.64,-69.13,78.46,1003,107,2.5,2.9,3.87,41.8,높음,29.1,68.76
45,29.2%,관찰,SOXL,raor4_step24p,20,13.0,15.0,7464795098,7364.8,30.64,-69.13,78.46,1003,107,2.5,2.9,3.87,41.8,높음,29.1,68.76
52,33.8%,관찰,SOXL,raor4_step24p,20,13.5,15.0,7464795098,7364.8,30.64,-69.13,78.46,1003,107,2.5,2.9,3.87,41.8,높음,29.1,68.76
59,38.3%,관찰,SOXL,raor4_step24p,20,14.0,15.0,7464795098,7364.8,30.64,-69.13,78.46,1003,107,2.5,2.9,3.87,41.8,높음,29.1,68.76
66,42.9%,관찰,SOXL,raor4_step24p,20,14.5,15.0,7464795098,7364.8,30.64,-69.13,78.46,1003,107,2.5,2.9,3.87,41.8,높음,29.1,68.76
73,47.4%,관찰,SOXL,raor4_step24p,20,15.0,15.0,7464795098,7364.8,30.64,-69.13,78.46,1003,107,2.5,2.9,3.87,41.8,높음,29.1,68.76
30,19.5%,관찰,SOXL,raor4_step24p,20,12.0,12.5,5135896572,5035.9,27.65,-69.13,76.96,981,124,2.5,2.8,3.21,41.8,높음,29.1,59.48
37,24.0%,관찰,SOXL,raor4_step24p,20,12.5,12.5,5135896572,5035.9,27.65,-69.13,76.96,981,124,2.5,2.8,3.21,41.8,높음,29.1,59.48
44,28.6%,관찰,SOXL,raor4_step24p,20,13.0,12.5,5135896572,5035.9,27.65,-69.13,76.96,981,124,2.5,2.8,3.21,41.8,높음,29.1,59.48
51,33.1%,관찰,SOXL,raor4_step24p,20,13.5,12.5,5135896572,5035.9,27.65,-69.13,76.96,981,124,2.5,2.8,3.21,41.8,높음,29.1,59.48
58,37.7%,관찰,SOXL,raor4_step24p,20,14.0,12.5,5135896572,5035.9,27.65,-69.13,76.96,981,124,2.5,2.8,3.21,41.8,높음,29.1,59.48
